data_shape,base_chart_name,description
NumericSeries,ranked_column,Ranked descending column chart with reference lines
NumericSeries,dot_strip,Strip / dot plot — one dot per organisation
NumericSeries,box_whisker,Box and whisker — full distribution with outliers
NumericSeries,frequency_histogram,Frequency histogram — distribution shape
NumericSeries,violin_plot,Violin plot — KDE distribution
NumericSeries,bead_string_dot_plot,Bead-string dot plot — three-tier distribution with peer group and selected unit
NumericSeries,celltest,Diagnostic — 50% transparent green rectangle at exactly the requested cell size, no data drawn
NumericSeries,column_ci_full,Ranked column chart — Community Indicators report styling (selected org red, others blue, mean/median lines)
NumericCompositional,ugly_bar,Horizontal bar — component breakdown
NumericCompositional,radar_chart,Radar / spider chart — component values on radial axes
NumericCompositional,donut_component,Donut chart — component proportions
NumericCompositional,lollipop_chart,Lollipop chart — elegant component breakdown
NumericCompositional,waffle_chart,Waffle chart — grid of squares per component
NumericCompositional,celltest,Diagnostic — 50% transparent green rectangle at exactly the requested cell size, no data drawn
CategoricalCompositional,yn_bar,Horizontal stacked bar — Yes/No per question
CategoricalCompositional,list_pie,Pie chart — category proportions
CategoricalCompositional,diverging_bar,Diverging bar — Yes right / No left from centre
CategoricalCompositional,dot_matrix,Dot matrix — filled dots per category per question
CategoricalCompositional,donut_pie,Donut chart — ring variant of pie
CategoricalCompositional,treemap,Treemap — area-proportional category rectangles
CategoricalCompositional,celltest,Diagnostic — 50% transparent green rectangle at exactly the requested cell size, no data drawn
TimeSeries,period_line_chart,Line chart — Metric-Series across every period, with Selected/peer highlighting
TimeSeries,median_comparison_linechart,Line chart — median per population layer across every period, Selected shows actual unit value(s)
TimeSeries,full_lines_linechart,Line chart — every unit in the largest population as a light grey line, Selected/peer lines highlighted on top
TimeSeries,sparkline1,Sparkline — population median and Selected unit value across every period, no axes
TimeSeries,line_has_data,Line chart - HasData — grey circle with white tick (data present) or cross (no data), for the Selected unit's submission
TimeSeries,line_ci_median,Line Chart - CI Median — blue tick/grey cross/grey dash: final period's submission vs population median
TimeSeries,line_ci_2,Line Chart - CI 2 — blue tick/grey cross/grey dash: final period's submission vs threshold of 2
TimeSeries,line_ci_5pct,Line Chart - CI 5% — blue tick/grey cross/grey dash: final period's submission vs threshold of 5%
TimeSeries,line_ci_0_5pct,Line Chart - CI 0.5% — blue tick/grey cross/grey dash: final period's submission vs threshold of 0.5%
TimeSeries,line_ci_full,Line chart — Community Indicators report styling, mean/median reference lines, Selected on top, plus a per-period Selected/Mean/Median table beneath the chart
TimeSeries,celltest,Diagnostic — 50% transparent green rectangle at exactly the requested cell size, no data drawn
